Obj	Immersion	Empty	V_Res	µm/pix	Z step (µm)	Scanning	Sampling	Destripe	Flat	Z_Block	Version
LCT 3.6x	1.52+	Blank	1600	1.800	1.80	Fast	1/1	A256/0	None	3079	5.6.0.14
Wavelength	Power L	Power R									
488	20.00	20.00									
561	20.00	20.00									
640	20.00	20.00									
X	Y	Z	Laser	Side	Exposure	Skip	Filter				
469190	479520	0	488	0	2	1	0				
501590	479520	0	488	0	2	1	0				
533990	479520	0	488	0	2	1	0				
566390	479520	0	488	1	2	1	0				
598790	479520	0	488	1	2	1	0				
631190	479520	0	488	1	2	1	0				
663590	479520	0	488	1	2	1	0				
469190	505440	0	488	0	2	1	0				
501590	505440	0	488	0	2	1	0				
533990	505440	0	488	0	2	1	0				
566390	505440	0	488	1	2	1	0				
598790	505440	0	488	1	2	1	0				
631190	505440	0	488	1	2	1	0				
663590	505440	0	488	1	2	1	0				
469190	531360	0	488	0	2	1	0				
501590	531360	0	488	0	2	1	0				
533990	531360	0	488	0	2	1	0				
566390	531360	0	488	1	2	1	0				
598790	531360	0	488	1	2	1	0				
631190	531360	0	488	1	2	1	0				
663590	531360	0	488	1	2	1	0				
469190	557280	0	488	0	2	1	0				
501590	557280	0	488	0	2	1	0				
533990	557280	0	488	0	2	1	0				
566390	557280	0	488	1	2	1	0				
598790	557280	0	488	1	2	1	0				
631190	557280	0	488	1	2	1	0				
663590	557280	0	488	1	2	1	0				
